subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,region,threshold_k,coverage_percent_mean,mean_context_sd_within_seed_pp,initialization_sd_across_seed_means_pp,cell_count
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,SE_2103_pm5,2,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,SE_2103_pm5,3,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,DEP_1592_pm5,1,33.333333333333336,0.0,28.86751345948129,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,DEP_1592_pm5,2,50.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,DEP_1592_pm5,3,50.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,feature_1620_pm5,1,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,feature_1620_pm5,2,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,feature_1620_pm5,3,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,overall_500_3000,1,45.88989441930619,0.3813562100438494,1.2509764277371904,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,overall_500_3000,2,75.93514328808446,0.3626694616422603,1.1905985443056286,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,overall_500_3000,3,89.87933634992459,0.14811710545752763,0.5944388053978418,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,FE_2614_pm5,1,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,FE_2614_pm5,2,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,FE_2614_pm5,3,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,SE_2103_pm5,1,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,SE_2103_pm5,2,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,SE_2103_pm5,3,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,DEP_1592_pm5,1,33.333333333333336,0.0,28.86751345948129,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,DEP_1592_pm5,2,50.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,DEP_1592_pm5,3,50.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,feature_1620_pm5,1,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,feature_1620_pm5,2,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,feature_1620_pm5,3,0.0,0.0,0.0,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP + PE,m2,overall_500_3000,1,20.603318250377075,1.071227566613967,2.771500908044845,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP + PE,m2,overall_500_3000,2,39.84917043740573,1.346742885762156,3.313095886875319,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP + PE,m2,overall_500_3000,3,57.41327300150829,0.8324590550902001,4.632561270976237,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP + PE,m2,FE_2614_pm5,1,8.333333333333334,8.784104611578831,14.433756729740644,30
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP + PE,m2,FE_2614_pm5,2,15.0,5.270462766947299,25.98076211353316,30
