subset_id,ordering_id,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,training_seed,context_seed,context_size,peak_mae_percentage_points,continuum_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,1,109,500,10.729278354841783,11.910511820275573,36.165819537656645,0.25240076441655057,0.23364830391177363,1.313123364932835,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed1-final-ctx-s109-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,100,500,10.937869431483534,10.032136013854597,33.133197826994696,0.25106268326913755,0.22849550545884542,1.2579420069232583,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s100-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,101,500,10.701393535720571,9.89854739814375,33.641504392236286,0.25124845490614733,0.22881230493327623,1.3951175091788173,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s101-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,102,500,10.93152699751469,10.142873435997696,32.157272228142574,0.2510585778123134,0.2278362956815976,1.4056988498196006,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s102-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,103,500,10.580503006895519,9.821874671518893,36.2206061180088,0.25199216381098166,0.2317473400017688,1.2800724408589303,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s103-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,104,500,10.553265917345762,9.89794158595049,35.22464996309299,0.25182222719885583,0.23083442929671114,1.263168554753065,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s104-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,105,500,10.582474507464102,9.845112989598267,35.70137976594429,0.25174479190336957,0.23115891144542094,1.4113523080013692,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s105-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,106,500,10.549223445500683,9.96783799669014,33.946798218123234,0.2516996679657632,0.22975776368801906,1.6358827627263963,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s106-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,107,500,10.582822445558318,9.857139052949126,34.99454571147522,0.25144910581750635,0.23025891331202283,1.553476459812373,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s107-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,2,108,500,10.593165325576452,9.895044163222492,35.533860921747205,0.2519501849796485,0.23117731357376722,1.2962439958937466,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed2-final-ctx-s108-n500-drop10100-mc50
