method,architecture_id,training_budget,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
Density-guided CNP (ours),ours,2000,2,105,500,phase2_new_evaluation,7.1572093447996625,11.82145179413274,28.924263285433334,0.24069565953335975,0.2146342740078193,1.582682176027447,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s105-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,106,500,phase2_new_evaluation,7.573569804796356,11.854632437282824,6.074975018931368,0.24052171881560008,0.20092788538126322,1.5815756972879171,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s106-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,107,500,phase2_new_evaluation,8.579066795621012,11.642239871930546,23.770047742038425,0.24096175838446873,0.21017159842730995,1.5820226958021522,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s107-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,108,500,phase2_new_evaluation,8.235990566686494,11.543916733992395,5.38116885782299,0.24127440293742056,0.2015352017439213,1.5779726901091635,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s108-n500-drop10100-mc50
Density-guided CNP (ours),ours,2000,2,109,500,phase2_new_evaluation,7.437773523665209,11.825806883134984,16.502563085752993,0.24045964810058265,0.20327959443264842,1.5863189902156591,3922.55908203125,20260909-phase2-b2000-ours-seed2-final-ctx-s109-n500-drop10100-mc50
CNP,m0,5000,0,100,500,phase2_new_evaluation,7.7022831766827675,6.149110676433342,8.24941091845802,0.23032188820489133,0.20485542623550948,0.1862349808216095,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s100-n500-drop10100-mc50
CNP,m0,5000,0,101,500,phase2_new_evaluation,7.497304670512143,5.855780017971031,8.525937975741172,0.23042310690357645,0.20492261057107994,0.18139772024005651,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s101-n500-drop10100-mc50
CNP,m0,5000,0,102,500,phase2_new_evaluation,7.705199709260858,6.1526569594854985,8.247111094460926,0.23031933397847235,0.2048515844386186,0.18187762098386884,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s102-n500-drop10100-mc50
CNP,m0,5000,0,103,500,phase2_new_evaluation,7.231392410716286,5.395724987627032,9.143004702596627,0.23067173864566468,0.2051829149998121,0.18257599603384733,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s103-n500-drop10100-mc50
CNP,m0,5000,0,104,500,phase2_new_evaluation,7.415730213830154,5.711385197949157,8.748130465285278,0.23042141963640733,0.2049724683186185,0.18336031399667263,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s104-n500-drop10100-mc50
CNP,m0,5000,0,105,500,phase2_new_evaluation,7.395655357887219,5.675142243805258,8.81032902022943,0.2304209651910459,0.2049837259970647,0.18218744918704033,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s105-n500-drop10100-mc50
CNP,m0,5000,0,106,500,phase2_new_evaluation,7.457963872880503,5.782178326015849,8.61056127521474,0.23044535492493937,0.20494640803308156,0.18285671016201377,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s106-n500-drop10100-mc50
CNP,m0,5000,0,107,500,phase2_new_evaluation,7.293920921787731,5.5019114787770205,8.999671828604223,0.23055884785500114,0.20508811164016658,0.1842276002280414,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s107-n500-drop10100-mc50
CNP,m0,5000,0,108,500,phase2_new_evaluation,7.205445493110697,5.333758041107719,9.212028711355808,0.23077634272185446,0.20524478932467055,0.18363193096593022,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s108-n500-drop10100-mc50
CNP,m0,5000,0,109,500,phase2_new_evaluation,7.649872335882485,6.094187965868642,8.374184136263269,0.23027950556186508,0.20485939759782568,0.18301098234951496,226.38232421875,20260909-phase2-b5000-m0-seed0-final-ctx-s109-n500-drop10100-mc50
CNP,m0,5000,1,100,500,phase2_new_evaluation,7.693602510619119,5.194018032153592,7.096647004703077,0.23062184825766177,0.20491456436929334,0.18351374473422766,226.38232421875,20260909-phase2-b5000-m0-seed1-final-ctx-s100-n500-drop10100-mc50
CNP,m0,5000,1,101,500,phase2_new_evaluation,7.570073148418451,5.052945912542022,7.284132946243377,0.23068674368467082,0.20495161452839888,0.18317652586847544,226.38232421875,20260909-phase2-b5000-m0-seed1-final-ctx-s101-n500-drop10100-mc50
CNP,m0,5000,1,102,500,phase2_new_evaluation,7.681694599526236,5.181155526190081,7.120830123131834,0.23060843015917445,0.20490879353049313,0.18056409806013107,226.38232421875,20260909-phase2-b5000-m0-seed1-final-ctx-s102-n500-drop10100-mc50
CNP,m0,5000,1,103,500,phase2_new_evaluation,7.381316188902527,4.815362710230926,7.711881212549902,0.23095245897157152,0.20512368672616504,0.18055113358423114,226.38232421875,20260909-phase2-b5000-m0-seed1-final-ctx-s103-n500-drop10100-mc50
