method,architecture_id,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_seed,mc_passes_per_cell
Attentive CNP + PE,m2,696.0,0.3433240041087071,0.03166390542465105,0.003402938334530597,3,10,50
Attentive CNP + PE,m2,697.0,0.4323670434256395,0.009449735969575301,0.003995823201449453,3,10,50
Attentive CNP + PE,m2,698.0,0.48553305896123256,0.050532578294396426,0.0037658607027402226,3,10,50
Attentive CNP + PE,m2,699.0,0.4238471543292204,0.022360453091839285,0.003805768281226403,3,10,50
Attentive CNP + PE,m2,700.0,0.365144534577926,0.03313056962183101,0.0033265076099156855,3,10,50
Attentive CNP + PE,m2,701.0,0.29786171592275307,0.04750028478887069,0.0028331665182538927,3,10,50
Attentive CNP + PE,m2,702.0,0.2806055102447669,0.033892466716338776,0.0026007392080599646,3,10,50
Attentive CNP + PE,m2,703.0,0.3300704954862595,0.043536869577487834,0.003220354148040371,3,10,50
Attentive CNP + PE,m2,704.0,0.3504800531963507,0.04561682342033974,0.0035462173313579788,3,10,50
Attentive CNP + PE,m2,705.0,0.41604997676610944,0.05354734562188554,0.004463456888546731,3,10,50
Attentive CNP + PE,m2,706.0,0.4527342714071274,0.04527727885128255,0.0054328199988205395,3,10,50
Attentive CNP + PE,m2,707.0,0.44846468869845074,0.03735445182210043,0.005431508563844966,3,10,50
Attentive CNP + PE,m2,708.0,0.4077401588161786,0.02779770814121706,0.004509537017107698,3,10,50
Attentive CNP + PE,m2,709.0,0.339182662854592,0.017143499238291657,0.0038022592117089096,3,10,50
Attentive CNP + PE,m2,710.0,0.34166310294469193,0.0074791541241263585,0.0033828699508858108,3,10,50
Attentive CNP + PE,m2,711.0,0.3109104429781437,0.006423203589534497,0.002864805965320412,3,10,50
Attentive CNP + PE,m2,712.0,0.3075571811596553,0.013712702470924825,0.002719246145221041,3,10,50
Attentive CNP + PE,m2,713.0,0.34398858105142915,0.01389848653946738,0.003189971327052513,3,10,50
Attentive CNP + PE,m2,714.0,0.35445011220375705,0.012083642923663295,0.003465508340880197,3,10,50
Attentive CNP + PE,m2,715.0,0.3813511533041795,0.024607514993797746,0.004059074120642258,3,10,50
Attentive CNP + PE,m2,716.0,0.42061161073048914,0.0338818290528079,0.004324579642541625,3,10,50
Attentive CNP + PE,m2,717.0,0.4337662104566892,0.035845102571182993,0.004231793766727655,3,10,50
Attentive CNP + PE,m2,718.0,0.42197298252582544,0.047673701037768926,0.0043512845630296485,3,10,50
Attentive CNP + PE,m2,719.0,0.3666367831528186,0.03893603286242724,0.0039938923386571715,3,10,50
Attentive CNP + PE,m2,720.0,0.3600464287002882,0.05295416916755383,0.003551216008872652,3,10,50
Attentive CNP + PE,m2,721.0,0.35255012139678005,0.03936666413795915,0.0032546641994287973,3,10,50
Attentive CNP + PE,m2,722.0,0.3533431544899941,0.005723088628901891,0.003407802994713334,3,10,50
Attentive CNP + PE,m2,723.0,0.3656385939419269,0.01896469143048551,0.0033981873319947863,3,10,50
Attentive CNP + PE,m2,724.0,0.34642304365833604,0.01706549719064212,0.0036828874059079753,3,10,50
Attentive CNP + PE,m2,725.0,0.3243362191319466,0.009340210523970964,0.0037051702800535526,3,10,50
Attentive CNP + PE,m2,726.0,0.26007277122636635,0.03608147861964591,0.0029366395967627286,3,10,50
Attentive CNP + PE,m2,727.0,0.18241492742300033,0.010383764875053261,0.0021660213777293194,3,10,50
Attentive CNP + PE,m2,728.0,0.24900274338324865,0.017493343532579343,0.0029328695353519965,3,10,50
Attentive CNP + PE,m2,729.0,0.35795781553785005,0.03420360112972334,0.0041584128854847205,3,10,50
Attentive CNP + PE,m2,730.0,0.38840067494908964,0.03749981966354294,0.004293311987419771,3,10,50
Attentive CNP + PE,m2,731.0,0.4057216656406721,0.029557301988474692,0.0036107953016675594,3,10,50
Attentive CNP + PE,m2,732.0,0.43073518961668017,0.025328395771623623,0.003428175443932048,3,10,50
Attentive CNP + PE,m2,733.0,0.44487376141548163,0.007159807714800238,0.003379243012483112,3,10,50
Attentive CNP + PE,m2,734.0,0.43700384644667306,0.012562542869356676,0.0029962294973693644,3,10,50
Attentive CNP + PE,m2,735.0,0.422767828643322,0.018752251283449317,0.0033913587292759514,3,10,50
Attentive CNP + PE,m2,736.0,0.40918239623308184,0.025669595885923113,0.0030688263717441547,3,10,50
Attentive CNP + PE,m2,737.0,0.3911548168460528,0.014760935614894607,0.003322690864309761,3,10,50
Attentive CNP + PE,m2,738.0,0.3783295830388864,0.016428699037669622,0.003488580629992303,3,10,50
Attentive CNP + PE,m2,739.0,0.4073355067968369,0.02301059046331007,0.0037479161287735704,3,10,50
Attentive CNP + PE,m2,740.0,0.4146715319951375,0.04311504755252472,0.0040411087805555905,3,10,50
Attentive CNP + PE,m2,741.0,0.39057467754681907,0.04605702656976284,0.0037693646300759067,3,10,50
Attentive CNP + PE,m2,742.0,0.39490440126260123,0.0357469259773857,0.0036027471865203047,3,10,50
Attentive CNP + PE,m2,743.0,0.3945110617876053,0.01955959723078159,0.0036797107452573932,3,10,50
Attentive CNP + PE,m2,744.0,0.3941217864553134,0.015554267667474747,0.0036314864236338886,3,10,50
Attentive CNP + PE,m2,745.0,0.41425570700565967,0.04677407308181096,0.003820763425610517,3,10,50
Attentive CNP + PE,m2,746.0,0.40200732629497843,0.05758660135562016,0.0036442410795901985,3,10,50
Attentive CNP + PE,m2,747.0,0.3388875241577625,0.04462206878877421,0.003345848302155474,3,10,50
Attentive CNP + PE,m2,748.0,0.32706432746847475,0.005690780937530231,0.00363316897633187,3,10,50
Attentive CNP + PE,m2,749.0,0.38276283677419026,0.014746576069266134,0.00416526996735911,3,10,50
Attentive CNP + PE,m2,750.0,0.4025288086732228,0.027835332019716934,0.003900111070915254,3,10,50
Attentive CNP + PE,m2,751.0,0.4255073213775953,0.022460901440430222,0.0035857657869300956,3,10,50
Attentive CNP + PE,m2,752.0,0.4665564553538959,0.0004730937534946808,0.0040346143795657536,3,10,50
Attentive CNP + PE,m2,753.0,0.4672043992280961,0.020153858362321305,0.004069369180466976,3,10,50
Attentive CNP + PE,m2,754.0,0.4793082088232041,0.012946069086819207,0.0042529555726828734,3,10,50
Attentive CNP + PE,m2,755.0,0.5113054711818695,0.02163063608162111,0.004581794522776105,3,10,50
Attentive CNP + PE,m2,756.0,0.5294702014128366,0.04278682374106497,0.004488683128231151,3,10,50
Attentive CNP + PE,m2,757.0,0.4950565918286642,0.019552347659225016,0.004409376972379129,3,10,50
Attentive CNP + PE,m2,758.0,0.42633304411172873,0.006155178640830789,0.004298789428956218,3,10,50
Attentive CNP + PE,m2,759.0,0.38075991083184885,0.036329533707799906,0.004470568885459745,3,10,50
Attentive CNP + PE,m2,760.0,0.3700456062455972,0.050447073132886065,0.0036965076403080396,3,10,50
Attentive CNP + PE,m2,761.0,0.343137181242307,0.04484400694459929,0.0034266972867960832,3,10,50
